date,temp,salt,rjy,yls_con
2022/4/28 0:00,6.102962045,32.13145965,6.213019895,1.091
2022/4/28 1:00,6.016502679,31.85039615,6.206928649,1.091
2022/4/28 2:00,6.018730995,31.85024705,6.187764679,1.03
2022/4/28 3:00,6.019499899,31.8501155,6.183070125,1.151
2022/4/28 4:00,6.013665647,31.84999658,6.176059417,1.151
2022/4/28 5:00,6.015043282,31.84988598,6.158923505,1.03
2022/4/28 6:00,6.016393064,31.84978041,6.163524395,1.091
2022/4/28 7:00,6.015800484,31.849678,6.162752588,1.273
2022/4/28 8:00,6.020326206,31.84957764,6.164246113,1.091
2022/4/28 9:00,6.01507435,31.84947784,6.165497116,1.091
2022/4/28 10:00,6.044440806,31.84937646,6.169344155,1.091
2022/4/28 11:00,6.0477816,31.84927163,6.169351096,1.151
2022/4/28 12:00,6.025264979,31.84916537,6.170643963,1.151
2022/4/28 13:00,6.015714711,31.84905923,6.16985938,1.151
2022/4/28 14:00,6.015337917,31.84894963,6.163819388,1.091
2022/4/28 15:00,6.016250499,31.8488313,6.140654564,1.151
2022/4/28 16:00,6.017173439,31.8486989,6.146841154,1.091
2022/4/28 17:00,6.022373432,31.8485489,6.13850673,1.151
2022/4/28 18:00,6.034022556,31.84838259,6.128544225,1.212
2022/4/28 19:00,6.042921244,31.84821002,6.155007512,1.151
2022/4/28 20:00,6.044779469,31.84805224,6.17531145,1.091
2022/4/28 21:00,6.047791337,31.84792947,6.175277155,1.091
2022/4/28 22:00,6.051202793,31.84783729,6.175346723,1.03
2022/4/28 23:00,6.05396052,31.84775233,6.175764525,1.091
2022/4/29 0:00,6.061933491,31.96259333,6.144757932,1.03
2022/4/29 1:00,6.031249119,31.85974832,6.136040464,1.151
2022/4/29 2:00,6.031795676,31.85949377,6.125011384,1.091
2022/4/29 3:00,6.032475343,31.85925559,6.123906239,1.091
2022/4/29 4:00,6.030275626,31.85902975,6.147799751,1.091
2022/4/29 5:00,6.030957594,31.85879981,6.218363832,1.091
2022/4/29 6:00,6.031619198,31.85855484,6.224728394,1.03
2022/4/29 7:00,6.032342813,31.85829097,6.225477794,1.03
2022/4/29 8:00,6.034584786,31.85800804,6.225924748,1.03
2022/4/29 9:00,6.03313039,31.85770643,6.228277755,1.091
2022/4/29 10:00,6.043276447,31.85738501,6.227920506,1.151
2022/4/29 11:00,6.044679804,31.85704074,6.22525474,1.091
2022/4/29 12:00,6.036156421,31.85667095,6.224412856,1.03
2022/4/29 13:00,6.032445216,31.85626945,6.224479044,1.091
2022/4/29 14:00,6.032575753,31.85582304,6.224788396,1.03
2022/4/29 15:00,6.032519763,31.85531594,6.216846117,1.151
2022/4/29 16:00,6.032063991,31.85473449,6.218437727,1.091
2022/4/29 17:00,6.034016187,31.85407495,6.197442198,1.091
2022/4/29 18:00,6.037834449,31.8533564,6.195056465,1.091
2022/4/29 19:00,6.041521484,31.85263803,6.187931536,1.03
2022/4/29 20:00,6.04260557,31.85202624,6.183290242,1.151
2022/4/29 21:00,6.044104005,31.85160575,6.185974938,1.151
2022/4/29 22:00,6.045711816,31.85140487,6.185808981,1.03
2022/4/29 23:00,6.047060481,31.85122143,6.194533235,0.909
2022/4/30 0:00,6.015024377,31.79059719,6.212844624,1.03
2022/4/30 1:00,6.040107316,31.86348952,6.210947248,1.03
2022/4/30 2:00,6.047426369,31.86314513,6.178141736,0.97
2022/4/30 3:00,6.048366649,31.86281336,6.172532736,1.03
2022/4/30 4:00,6.051323628,31.86249355,6.164711719,1.03
2022/4/30 5:00,6.0532285,31.8621624,6.1449985,1.091
2022/4/30 6:00,6.053917544,31.86180542,6.141876453,0.97
2022/4/30 7:00,6.054380185,31.8614197,6.140677146,1.03
2022/4/30 8:00,6.053975018,31.86100677,6.142506267,1.03
2022/4/30 9:00,6.054929041,31.86056961,6.145189397,0.97
2022/4/30 10:00,6.04690178,31.86010864,6.147477885,0.97
2022/4/30 11:00,6.046859534,31.85962,6.141511558,0.97
2022/4/30 12:00,6.053334479,31.85909617,6.137666962,1.03
2022/4/30 13:00,6.056046072,31.85852312,6.138418543,1.03
2022/4/30 14:00,6.056186463,31.85787846,6.130128158,0.97
2022/4/30 15:00,6.056100314,31.85713634,6.096773614,1.03
2022/4/30 16:00,6.056904111,31.8562743,6.110264662,0.97
2022/4/30 17:00,6.056762954,31.85528536,6.164622138,1.03
2022/4/30 18:00,6.055464677,31.85419807,6.156099437,1.091
2022/4/30 19:00,6.053186766,31.85310326,6.161608097,1.091
2022/4/30 20:00,6.053320556,31.85216545,6.165194024,1.151
2022/4/30 21:00,6.053985124,31.85151891,6.167738508,1.273
2022/4/30 22:00,6.053956879,31.85122127,6.171440003,1.151
2022/4/30 23:00,6.054488673,31.85095046,6.174672759,1.091
2022/5/1 0:00,6.006554083,31.72752409,6.173384283,1.151
2022/5/1 1:00,6.049454461,31.86327516,6.170117612,1.151
2022/5/1 2:00,6.045754911,31.86285506,6.162484735,1.151
2022/5/1 3:00,6.046274029,31.86245312,6.162123639,1.212
2022/5/1 4:00,6.050572767,31.86207337,6.173198902,1.091
2022/5/1 5:00,6.051240649,31.86169503,6.201807293,1.212
2022/5/1 6:00,6.051761548,31.86130687,6.19702313,1.151
2022/5/1 7:00,6.052710426,31.86090897,6.194103384,1.151
2022/5/1 8:00,6.050937233,31.86050644,6.19292418,-1
2022/5/1 9:00,6.053716943,31.86010397,6.192196883,1.212
2022/5/1 10:00,6.039732846,31.85970192,6.190375911,1.151
2022/5/1 11:00,6.038064102,31.85929401,6.17467951,-1
2022/5/1 12:00,6.049479707,31.85886729,6.171977537,1.212
2022/5/1 13:00,6.054878226,31.85839989,6.171690299,-1
2022/5/1 14:00,6.055127241,31.85786031,6.156016101,1.091
2022/5/1 15:00,6.052923474,31.8572126,6.11463232,1.091
2022/5/1 16:00,6.052945504,31.85642439,6.131250061,-1
2022/5/1 17:00,6.049072817,31.85548068,6.185727453,1.151
2022/5/1 18:00,6.042702215,31.85440651,6.18268099,1.03
2022/5/1 19:00,6.038893777,31.8532975,6.174351973,-1
2022/5/1 20:00,6.038734736,31.85233433,6.171361611,1.091
2022/5/1 21:00,6.03837282,31.85169057,6.171754581,1.151
2022/5/1 22:00,6.038533934,31.85143241,6.177594684,-1
2022/5/1 23:00,6.038862174,31.85121148,6.168732042,1.091
2022/5/2 0:00,5.99484244,31.72536022,6.159974143,1.151
2022/5/2 1:00,6.037683354,31.86148034,6.177908974,1.151
2022/5/2 2:00,6.037652857,31.86117612,6.146226624,1.091
2022/5/2 3:00,6.037745465,31.86089484,6.140303425,1.151
2022/5/2 4:00,6.041456795,31.86064263,6.129983789,1.03
2022/5/2 5:00,6.041822911,31.86040982,6.102452671,1.212
2022/5/2 6:00,6.042068125,31.86019255,6.099129696,1.151
2022/5/2 7:00,6.043967047,31.85999312,6.096870166,1.212
2022/5/2 8:00,6.042656123,31.85981544,6.09661327,1.151
2022/5/2 9:00,6.045287508,31.85966129,6.09788006,1.151
2022/5/2 10:00,6.031114204,31.85952765,6.097179143,1.151
2022/5/2 11:00,6.029399604,31.85940528,6.113450709,1.03
2022/5/2 12:00,6.040902114,31.85927872,6.118655164,1.03
2022/5/2 13:00,6.046509508,31.85912503,6.12103419,1.03
2022/5/2 14:00,6.047584102,31.85891368,6.162254397,1.03
2022/5/2 15:00,6.04853258,31.85861043,6.288920352,1.091
2022/5/2 16:00,6.049438617,31.8581837,6.245902116,1.091
2022/5/2 17:00,6.047466172,31.85761577,6.106596272,1.091
2022/5/2 18:00,6.042261414,31.85692088,6.098933596,1.091
2022/5/2 19:00,6.037643691,31.85616954,6.080878617,1.091
2022/5/2 20:00,6.036652474,31.85550078,6.067561445,1.151
2022/5/2 21:00,6.036395695,31.85504166,6.06627283,1.273
2022/5/2 22:00,6.035833125,31.85486635,6.062000516,1.333
2022/5/2 23:00,6.036401232,31.85471371,6.059699395,1.212
2022/5/3 0:00,5.945488019,31.46368776,6.043677468,1.273
2022/5/3 1:00,6.067945907,31.8552675,6.058716301,1.273
2022/5/3 2:00,6.063986351,31.85518442,6.048237537,1.394
2022/5/3 3:00,6.063302201,31.85509293,6.044482329,1.333
2022/5/3 4:00,6.071017091,31.8550004,6.04226652,1.212
2022/5/3 5:00,6.071196915,31.85490504,6.046548666,1.333
2022/5/3 6:00,6.070277247,31.85480756,6.046055648,1.273
2022/5/3 7:00,6.069642385,31.8547111,6.043854235,1.273
2022/5/3 8:00,6.063110303,31.85462081,6.043049501,1.151
2022/5/3 9:00,6.069007456,31.85454269,6.043483499,1.212
2022/5/3 10:00,6.027331804,31.854483,6.043076417,1.273
2022/5/3 11:00,6.022028828,31.85444602,6.050865688,1.212
2022/5/3 12:00,6.054022142,31.8544286,6.055662255,1.333
2022/5/3 13:00,6.068640825,31.85442568,6.058812708,1.212
2022/5/3 14:00,6.068328974,31.85443726,6.050313272,1.273
2022/5/3 15:00,6.067964683,31.85446391,6.021256336,1.273
2022/5/3 16:00,6.068212799,31.85450574,6.032522554,1.212
2022/5/3 17:00,6.066834369,31.85456175,6.060877559,1.273
2022/5/3 18:00,6.054870804,31.85462831,6.054533218,1.151
2022/5/3 19:00,6.042341544,31.85469686,6.034107367,1.212
2022/5/3 20:00,6.03925032,31.85475284,6.021127427,1.273
2022/5/3 21:00,6.035368811,31.85478667,6.02239754,1.273
